Family,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Francisellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1136,11,1373,44
Frankiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,93,7,171,90
Fusobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,542,14,1111,98
Futianiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Gaiellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,168,37,693,7
Gallaecimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,9,6
Gallionellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,351,15,517,51
Gemellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,72,1,131,24
Geminicoccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,50,17,136,17
Geminocystaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,25,5,51,26
Gemmataceae,Bacteria,Bacteria,Both,Match,Direct_Name,226,42,290,26
Gemmatimonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,352,40,1142,22
Geoalkalibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,8,3,8,4
Geobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,97,15,394,85
Geodermatophilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,148,11,213,123
Geopsychrobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,60,9,64,9
Geothermobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,3,7,4
Gloeobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,6,3,5,5
Gloeomargaritaceae,Bacteria,Bacteria,Both,Match,Direct_Name,12,2,28,28
Gomphosphaeriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Gottschalkiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,3,6,5
Govaniaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,3,1,1
Granulosicoccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,80,10,154,8
Haladaptataceae,Archaea,Archaea,Both,Match,Direct_Name,38,2,54,46
Halalkalicoccaceae,Archaea,Archaea,Both,Match,Direct_Name,10,2,1,1
Halanaerobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,37,3,121,21
Halarsenatibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,17,3,3,3
Halieaceae,Bacteria,Bacteria,Both,Match,Direct_Name,374,22,963,80
Haliovirgaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Haloarculaceae,Archaea,Archaea,Both,Match,Direct_Name,224,21,329,164
Halobacteriaceae,Archaea,Archaea,Both,Match,Direct_Name,65,7,144,46
Halobacteroidaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,10,5,31,20
Halococcaceae,Archaea,Archaea,Both,Match,Direct_Name,20,1,35,24
Haloferacaceae,Archaea,Archaea,Both,Match,Direct_Name,336,26,503,273
Halomonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,688,24,998,459
Haloplasmataceae,Bacteria,Bacteria,Both,Match,Direct_Name,8,4,12,5
Halorutilaceae,Archaea,Archaea,Both,Match,Direct_Name,5,2,1,1
