family,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Vallitaleaceae,13,25,0.0,0.0,35,35,0,0.01,0.01,0.0,0.371,2.692,1,0,1,matched,
Sneathiellaceae,43,138,0.02,0.01,35,35,0,0.01,0.01,0.0,1.229,0.814,1,0,1,matched,
Methanomicrobiaceae,161,851,0.06,0.07,35,35,0,0.01,0.01,0.0,4.6,0.217,1,0,1,matched,
Moritellaceae,21,117,0.01,0.01,33,33,0,0.01,0.01,0.0,0.636,1.571,1,0,1,matched,
Chitinispirillaceae,1,1,0.0,0.0,33,33,0,0.01,0.01,0.0,0.03,33.0,1,0,1,matched,
Egibacteraceae,9,37,0.0,0.0,32,32,0,0.01,0.01,0.0,0.281,3.556,1,0,1,matched,
Psychromonadaceae,25,220,0.01,0.02,32,32,0,0.01,0.01,0.0,0.781,1.28,1,0,1,matched,
Cardiobacteriaceae,163,556,0.06,0.05,32,32,0,0.01,0.01,0.0,5.094,0.196,1,0,1,matched,
Thermofilaceae,41,181,0.02,0.02,32,32,0,0.01,0.01,0.0,1.281,0.78,1,0,1,matched,
Thermodesulfovibrionaceae,49,250,0.02,0.02,31,31,0,0.01,0.01,0.0,1.581,0.633,1,0,1,matched,
Amoebophilaceae,157,537,0.06,0.04,31,31,0,0.01,0.01,0.0,5.065,0.197,1,0,1,matched,
Desertifilaceae,4,14,0.0,0.0,31,31,0,0.01,0.01,0.0,0.129,7.75,1,0,1,matched,
Bradymonadaceae,74,169,0.03,0.01,30,30,0,0.01,0.01,0.0,2.467,0.405,1,0,1,matched,
Jatrophihabitantaceae,63,513,0.02,0.04,30,30,0,0.01,0.01,0.0,2.1,0.476,1,0,1,matched,
Chroococcidiopsidaceae,43,120,0.02,0.01,29,29,0,0.0,0.0,0.0,1.483,0.674,1,0,1,matched,
Pleomorphomonadaceae,34,117,0.01,0.01,28,28,0,0.0,0.0,0.0,1.214,0.824,1,0,1,matched,
Jiangellaceae,24,66,0.01,0.01,28,28,0,0.0,0.0,0.0,0.857,1.167,1,0,1,matched,
Spirochaetaceae,1799,5941,0.69,0.5,27,27,0,0.0,0.0,0.0,66.63,0.015,0,1,1,matched,
Tepidimicrobiaceae,70,157,0.03,0.01,27,27,0,0.0,0.0,0.0,2.593,0.386,1,0,1,matched,
Pyrodictiaceae,21,63,0.01,0.01,26,26,0,0.0,0.0,0.0,0.808,1.238,1,0,1,matched,
Desulfonatronovibrionaceae,12,30,0.0,0.0,26,26,0,0.0,0.0,0.0,0.462,2.167,1,0,1,matched,
Kiloniellaceae,165,526,0.06,0.04,26,26,0,0.0,0.0,0.0,6.346,0.158,1,0,1,matched,
Cytophagaceae,317,925,0.12,0.08,26,26,0,0.0,0.0,0.0,12.192,0.082,1,0,1,matched,
Iamiaceae,98,521,0.04,0.04,26,26,0,0.0,0.0,0.0,3.769,0.265,1,0,1,matched,
Methylacidiphilaceae,133,1168,0.05,0.1,26,26,0,0.0,0.0,0.0,5.115,0.195,1,0,1,matched,
Simkaniaceae,1,1,0.0,0.0,25,25,0,0.0,0.0,0.0,0.04,25.0,1,0,1,matched,
Silvanigrellaceae,84,359,0.03,0.03,25,25,0,0.0,0.0,0.0,3.36,0.298,1,0,1,matched,
Nitrospinaceae,271,1284,0.1,0.11,24,24,0,0.0,0.0,0.0,11.292,0.089,1,0,1,matched,
Nakamurellaceae,50,430,0.02,0.04,24,24,0,0.0,0.0,0.0,2.083,0.48,1,0,1,matched,
Ancalomicrobiaceae,1,11,0.0,0.0,24,24,0,0.0,0.0,0.0,0.042,24.0,1,0,1,matched,
