DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_genome_counts
Sarcophilus_harrisii_species_9305	8
Paecilomyces_lecythidis_species_3004212	8
Adineta_steineri_species_433720	8
Kodamaea_ohmeri_species_34356	8
Fusarium_falciforme_species_195108	8
Dromaius_novaehollandiae_species_8790	8
Chrysemys_picta_species_8479	8
Leptidea_sinapis_species_189913	8
Ogataea_parapolymorpha_species_1005962	8
Acanthaster_planci_species_133434	8
Ixodes_ricinus_species_34613	8
Citrullus_amarus_species_1567104	8
Cyberlindnera_fabianii_species_36022	8
Saccharomycopsis_capsularis_species_36036	8
Nematocida_parisii_species_586133	8
Naganishia_albida_species_100951	8
Verticillium_longisporum_species_100787	8
Aspergillus_tamarii_species_41984	8
Vitis_betulifolia_species_345145	8
Fragilariophycidae_sp._species_2902755	8
Linnemannia_elongata_species_310910	8
Magallana_gigas_species_29159	8
Rotaria_sordida_species_392033	8
Bubalus_bubalis_species_89462	8
Starmerella_bacillaris_species_1247836	8
Rotaria_sp._Silwood2_species_2762512	8
Oryza_glaberrima_species_4538	8
Epichloe_festucae_species_35717	8
Aquila_chrysaetos_species_8962	8
Scleropages_formosus_species_113540	8
Fusarium_odoratissimum_species_2502994	7
Erysiphe_necator_species_52586	7
Cryptosporidium_bovis_species_310047	7
Schmidtea_mediterranea_species_79327	7
Ostreococcus_tauri_species_70448	7
Arxiozyma_pintolopesii_species_278025	7
Mytilus_galloprovincialis_species_29158	7
Pyrrhoderma_noxium_species_2282107	7
Nematocida_ausubeli_species_1913371	7
Trichoderma_koningiopsis_species_337941	7
Ophiostoma_novo-ulmi_species_42373	7
Petromyzon_marinus_species_7757	7
Meloidogyne_incognita_species_6306	7
Fusarium_annulatum_species_48484	7
Aphanomyces_euteiches_species_100861	7
Colletotrichum_nymphaeae_species_306554	7
Lotmaria_passim_species_1620387	7
Theileria_parva_species_5875	7
Caenorhabditis_briggsae_species_6238	7
Bursaphelenchus_xylophilus_species_6326	7
Camelus_dromedarius_species_9838	7
Trichinella_pseudospiralis_species_6337	7
Rhizopogon_vinicolor_species_80600	7
Trichinella_spiralis_species_6334	7
Clarireedia_jacksonii_species_2036908	7
Hyalomma_marginatum_species_34627	7
Phytophthora_infestans_species_4787	7
Blumeria_hordei_species_2867405	7
Gynochthodes_officinalis_species_266091	7
Notamacropus_eugenii_species_9315	7
Daphnia_pulex_species_6669	7
Prunus_armeniaca_species_36596	7
Penicillium_digitatum_species_36651	7
Falco_rusticolus_species_120794	7
Tilletia_laevis_species_157183	7
Nothobranchius_furzeri_species_105023	7
Talaromyces_purpureogenus_species_1266744	7
Larix_cajanderi_species_501393	7
Musca_domestica_species_7370	7
Solenopsis_invicta_species_13686	7
Vitis_riparia_species_96939	7
Kluyveromyces_lactis_species_28985	7
Metschnikowia_bicuspidata_species_27322	7
Leishmania_major_species_5664	7
Phialophora_americana_species_5601	7
Cryphonectria_radicalis_species_40262	7
Anser_cygnoides_species_8845	7
Ceratocystis_albifundus_species_357446	7
Lymantria_dispar_species_13123	7
Rosellinia_necatrix_species_77044	7
Ganoderma_lucidum_species_5315	7
Pleurotus_eryngii_species_5323	7
Candida_orthopsilosis_species_273371	7
Bactrocera_dorsalis_species_27457	7
Trichosporon_ovoides_species_82524	7
Moesziomyces_antarcticus_species_84753	7
Drosophila_virilis_species_7244	7
Linum_usitatissimum_species_4006	7
Tetranychus_urticae_species_32264	7
Batrachochytrium_dendrobatidis_species_109871	7
Diuraphis_noxia_species_143948	7
Mythimna_separata_species_271217	7
Ficus_carica_species_3494	7
Tursiops_truncatus_species_9739	7
Saccharomyces_mikatae_species_114525	7
Penicillium_canescens_species_5083	7
Torulaspora_indica_species_1056991	7
Delphinapterus_leucas_species_9749	7
Ephestia_kuehniella_species_40079	7
Rhizopogon_rudus_species_181343	7
Drosophila_ananassae_species_7217	7
Aedes_albopictus_species_7160	7
Anopheles_gambiae_species_7165	7
Oreochromis_niloticus_species_8128	7
Aplysina_aerophoba_species_289389	7
Misgurnus_anguillicaudatus_species_75329	7
Ustilaginoidea_virens_species_1159556	7
Spirodela_polyrhiza_species_29656	7
Aspergillus_sydowii_species_75750	7
Daphnia_magna_species_35525	7
Aspergillus_calidoustus_species_454130	6
Tremella_fuciformis_species_64657	6
Lecanorales_sp._species_2011672	6
Phyllosticta_citriasiana_species_595635	6
Lonchura_striata_species_40157	6
Tricholoma_matsutake_species_40145	6
Malus_hybrid_cultivar_species_604297	6
Gemmamyces_piceae_species_1770616	6
Aspergillus_udagawae_species_91492	6
Phialophora_verrucosa_species_39412	6
Blastomyces_dermatitidis_species_5039	6
Leptopilina_heterotoma_species_63436	6
Aspergillus_sojae_species_41058	6
Elsinoe_fawcettii_species_40997	6
Penicillium_brevicompactum_species_5074	6
Anopheles_funestus_species_62324	6
Durio_zibethinus_species_66656	6
Nomascus_leucogenys_species_61853	6
Penicillium_camemberti_species_5075	6
Monascus_ruber_species_89489	6
Austropuccinia_psidii_species_181123	6
Cordyceps_farinosa_species_89141	6
Brettanomyces_anomalus_species_37662	6
Euwallacea_fornicatus_species_995702	6
Spheniscus_humboldti_species_9240	6
Phialophora_macrospora_species_1851006	6
Ostrea_edulis_species_37623	6
Fusarium_tricinctum_species_61284	6
Citrullus_colocynthis_species_252529	6
Falco_cherrug_species_345164	6
Cercospora_sojina_species_438356	6
Junonia_vestina_species_1158302	6
Arachis_duranensis_species_130453	6
Exserohilum_rostratum_species_1659837	6
Fusarium_culmorum_species_5516	6
Chlorella_desiccata_nom._nud._species_1650286	6
Rhodotorula_paludigena_species_86838	6
Penicillium_olsonii_species_99116	6
Coffea_arabica_species_13443	6
Laetiporus_sulphureus_species_5630	6
Plasmodium_ovale_species_36330	6
Trypanosoma_brucei_species_5691	6
Zymoseptoria_pseudotritici_species_1173715	6
uncultured_eukaryote_species_100272	6
Saccharomycodes_ludwigii_species_36035	6
Leishmania_tropica_species_5666	6
Metarhizium_robertsii_species_568076	6
Boletus_edulis_species_36056	6
Acetabularia_acetabulum_species_35845	6
Trichosurus_vulpecula_species_9337	6
Pangasianodon_hypophthalmus_species_310915	6
Manis_pentadactyla_species_143292	6
Hydrangea_macrophylla_species_23110	6
Cordyceps_cateniannulata_species_983339	6
Plasmodium_berghei_species_5821	6
Blastocystis_sp._subtype_1_species_944036	6
Mechanitis_polymnia_species_127245	6
Chlorella_vulgaris_species_3077	6
Candidozyma_haemuli_species_45357	6
Trichoderma_citrinoviride_species_58853	6
Trichoderma_afroharzianum_species_1567482	6
Ananas_comosus_species_4615	6
Drosophila_biarmipes_species_125945	6
Collybia_sordida_species_123925	6
Colletotrichum_scovillei_species_1209932	6
Diaporthe_eres_species_83184	6
Malus_hybrid_rootstock_species_370305	6
Cercospora_beticola_species_122368	6
Adineta_vaga_species_104782	6
Diaphorina_citri_species_121845	6
Streptophyta_sp._species_2922365	6
Cricetulus_griseus_species_10029	6
Astyanax_mexicanus_species_7994	6
Arabidopsis_halleri_species_81970	6
Carassius_auratus_species_7957	6
Encephalitozoon_cuniculi_species_6035	6
Oryctolagus_cuniculus_species_9986	6
Hypocrella_siamensis_species_696354	6
Wolfiporia_cocos_species_81056	6
Hydra_vulgaris_species_6087	6
Lolium_multiflorum_species_4521	6
Rosaceae_sp._species_2922363	6
Aphelenchoides_besseyi_species_269767	6
Zeugodacus_cucurbitae_species_28588	6
Rutilus_rutilus_species_48668	6
Branchiostoma_lanceolatum_species_7740	6
Cimex_lectularius_species_79782	6
Sporisorium_scitamineum_species_49012	6
Meloidogyne_arenaria_species_6304	6
Lepeophtheirus_salmonis_species_72036	6
Glycine_soja_species_3848	6
Hyphopichia_burtonii_species_717740	6
Wickerhamiella_pararugosa_species_49331	6
Plagiodera_versicolora_species_154017	6
Lentinula_raphanica_species_153919	6
Medicago_truncatula_species_3880	6
Panthera_tigris_species_9694	6
Lactuca_sativa_species_4236	6
Mytilus_edulis_species_6550	6
Panthera_pardus_species_9691	6
[Candida]_anglica_species_148631	6
Rhipicephalus_microplus_species_6941	6
Castor_canadensis_species_51338	6
Pygoscelis_papua_species_30457	6
Salix_purpurea_species_77065	6
Sesamum_indicum_species_4182	6
Citrus_australasica_species_416196	6
Plutella_xylostella_species_51655	6
Willaertia_magna_species_51641	6
Colletotrichum_lindemuthianum_species_290576	6
Paecilomyces_paravariotii_species_3031639	6
Diceros_bicornis_species_9805	6
Hevea_brasiliensis_species_3981	6
Drosophila_yakuba_species_7245	6
[Candida]_sonorensis_species_51926	6
uncultured_Bathycoccus_species_528323	6
Zaprionus_indianus_species_76712	6
