Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Coccomyxaceae,35472,20,87,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Trebouxiophyceae;Trebouxiophyceae incertae sedis;Coccomyxaceae,cellular root;domain;kingdom;phylum;clade;class;no rank;family,131567;2759;33090;3041;2692248;75966;75981;35472
Spironemidae,2027449,20,81,cellular organisms;Eukaryota;Hemimastigophora;Spironemidae,cellular root;domain;phylum;family,131567;2759;2489521;2027449
Stylocephalidae,650329,20,39,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Stylocephalidae,cellular root;domain;clade;clade;phylum;class;subclass;order;family,131567;2759;2698737;33630;5794;1280412;35086;35087;650329
Centroplasthelida_XXXX,193537,19,25,cellular organisms;Eukaryota;Haptista;Centroplasthelida;Centroplasthelida_XXXX,cellular root;domain;clade;class;original_name,131567;2759;2608109;193537;193537
Dino-Group-II-Clade-14,NA,19,51,Dino-Group-II-Clade-14,original_name,NA
Labyrinthulomycetes.U.family,35131,19,33,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Labyrinthulomycetes.U.family,cellular root;domain;clade;clade;class;subclass;original_name,131567;2759;2698737;33634;2683628;35131;35131
Ophryoglenida,NA,19,444,,,
Xcellidae,2759735,19,22,cellular organisms;Eukaryota;Sar;Alveolata;Perkinsozoa;Perkinsea;Perkinsida;Xcellidae,cellular root;domain;clade;clade;phylum;clade;order;family,131567;2759;2698737;33630;2497438;27997;27998;2759735
Cafeteriaceae,238884,18,75,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida;Cafeteriaceae,cellular root;domain;clade;clade;class;clade;order;family,131567;2759;2698737;33634;2683628;2683629;33651;238884
Colpodellida_CHR1,877183,18,70,cellular organisms;Eukaryota;Sar;Alveolata;Colpodellida;Colpodellida_CHR1,cellular root;domain;clade;clade;clade;original_name,131567;2759;2698737;33630;877183;877183
Lagynidae,212497,18,66,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Allogromida;Lagynidae,cellular root;domain;clade;clade;clade;phylum;clade;family,131567;2759;2698737;543769;2662056;29178;196920;212497
Dino-Group-II-Clade-21,NA,17,78,Dino-Group-II-Clade-21,original_name,NA
Diplophrydaceae,NA,17,26,,,
Paulinellidae,39715,17,24,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Euglyphida;Paulinellidae,cellular root;domain;clade;clade;phylum;class;clade;order;family,131567;2759;2698737;543769;136419;1736114;556185;178369;39715
