Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Blastopirellula,265487,629,0.24,2154,0.18,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Blastopirellula,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;203682;203683;2691354;2691357;265487
Enterobacteriaceae.U.genus,543,623,0.24,1097,0.09,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;3379134;1224;1236;91347;543;543
Nitrososphaeria.U.genus,1643678,619,0.24,2993,0.25,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrososphaeria.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;1783275;651137;1643678;1643678
Lachnoclostridium,1506553,607,0.23,2035,0.17,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;3085636;186803;1506553
Candidatus Micrarchaeales.U.genus,2885734,604,0.23,2043,0.17,cellular organisms;Archaea;Nanobdellati;Candidatus Micrarchaeota;Candidatus Micrarchaeia;Candidatus Micrarchaeales;Candidatus Micrarchaeales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2157;1783276;1801631;2885733;2885734;2885734
Microscillaceae.U.genus,1937962,603,0.23,2494,0.21,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Microscillaceae;Microscillaceae.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;original_name,131567;2;3379134;1783270;68336;976;768503;768507;1937962;1937962
Nitrosomonadaceae.U.genus,206379,601,0.23,5556,0.47,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonadaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;3379134;1224;28216;32003;206379;206379
Armatimonadota.U.genus,67819,593,0.23,1638,0.14,cellular organisms;Bacteria;Bacillati;Armatimonadota;Armatimonadota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;67819;67819
Ardenticatenales.U.genus,1382929,553,0.21,1552,0.13,cellular organisms;Bacteria;Bacillati;Chloroflexota;Ardenticatenia;Ardenticatenales;Ardenticatenales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;200795;1382928;1382929;1382929
Bdellovibrionales.U.genus,213481,544,0.21,2058,0.17,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;3018035;3031418;213481;213481
Nocardioides,1839,533,0.2,2002,0.17,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85009;85015;1839
Thermodesulfovibrionia.U.genus,2811502,532,0.2,1861,0.16,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionia.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;40117;2811502;2811502
Flavobacteriales.U.genus,200644,530,0.2,3714,0.31,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriales.U.genus,cellular root;domain;kingdom;clade;clade;phylum;class;order;original_name,131567;2;3379134;1783270;68336;976;117743;200644;200644
