DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_genome_counts
COLOR	#ff0000
Gemmiger_formicilis_species_745368	350
Polaromonas_sp._species_1869339	349
Candidatus_Limnocylindrales_bacterium_species_2952938	349
Bacteroides_caccae_species_47678	346
uncultured_Prevotellamassilia_sp._species_1926676	346
Pirellulales_bacterium_species_2715253	345
Citrobacter_portucalensis_species_1639133	344
Shigella_dysenteriae_species_622	344
Streptosporangiaceae_bacterium_species_2339230	343
Candidatus_Saccharimonadales_bacterium_species_2973664	343
Pirellulaceae_bacterium_species_2699754	343
Enterobacter_bugandensis_species_881260	343
Mammaliicoccus_sciuri_species_1296	343
Burkholderia_gladioli_species_28095	343
Opitutales_bacterium_species_2026772	342
Burkholderia_cepacia_species_292	342
Rhodoferax_sp._species_50421	342
Streptococcus_dysgalactiae_species_1334	341
Rikenellaceae_bacterium_species_2049048	338
Yersinia_pseudotuberculosis_species_633	337
uncultured_Rikenellaceae_bacterium_species_331634	335
Lysobacterales_bacterium_species_2006849	334
Rickettsiales_bacterium_species_2026788	332
Sutterella_wadsworthensis_species_40545	332
Staphylococcus_capitis_species_29388	332
uncultured_Lachnoclostridium_sp._species_1586779	331
Anaerostipes_hadrus_species_649756	330
uncultured_Sutterella_sp._species_286133	329
Spirochaetales_bacterium_species_2026792	329
uncultured_Chloroflexota_bacterium_species_166587	328
Gaiellales_bacterium_species_2093372	327
Candidatus_Altimarinota_bacterium_species_2044595	325
Veillonella_sp._species_1926307	325
Candidatus_Zixiibacteriota_bacterium_species_2053527	324
Pediococcus_acidilactici_species_1254	323
Pseudomonas_fluorescens_species_294	321
Turicimonas_muris_species_1796652	320
Leuconostoc_mesenteroides_species_1245	320
Burkholderia_ubonensis_species_101571	319
Barnesiella_intestinihominis_species_487174	318
Sulfurimonas_sp._species_2022749	318
[Clostridium]_innocuum_species_1522	318
uncultured_Peptococcaceae_bacterium_species_329911	318
Acinetobacter_sp._species_472	316
Candidatus_Acidiferrales_bacterium_species_2952895	314
Candidatus_Eiseniibacteriota_bacterium_species_2212470	313
Ferruginibacter_sp._species_1940288	313
Ignavibacteria_bacterium_species_2053306	312
Prevotellaceae_bacterium_species_2049047	311
Candidatus_Latescibacterota_bacterium_species_2053570	311
Novosphingobium_sp._species_1874826	310
uncultured_Solirubrobacteraceae_bacterium_species_1162706	309
Bifidobacterium_animalis_species_28025	308
Candidatus_Binatia_bacterium_species_2838779	307
Faecousia_sp._species_2952921	307
Streptococcus_oralis_species_1303	305
uncultured_Bacillales_bacterium_species_157472	305
Turicibacter_sanguinis_species_154288	304
Spirochaetaceae_bacterium_species_1898206	303
Mycoplasmoides_pneumoniae_species_2104	303
Bacillus_pumilus_species_1408	301
Opitutaceae_bacterium_species_2006848	301
Pantoea_ananatis_species_553	301
Bdellovibrionales_bacterium_species_2053517	301
Clavibacter_michiganensis_species_28447	300
Bacteroides_stercoris_species_46506	300
uncultured_Planctomycetia_bacterium_species_411917	299
Pantoea_agglomerans_species_549	299
Polyangiaceae_bacterium_species_2268199	299
uncultured_Hyphomicrobiales_bacterium_species_208549	299
uncultured_Myxococcales_bacterium_species_253830	298
Campylobacter_concisus_species_199	298
Streptomyces_albidoflavus_species_1886	296
Haemophilus_parainfluenzae_species_729	295
Spirochaetia_bacterium_species_2053615	293
Bacillus_safensis_species_561879	293
Bordetella_parapertussis_species_519	293
Synergistaceae_bacterium_species_2053624	291
Blautia_sp._species_1955243	291
Schleiferiaceae_bacterium_species_2562116	291
Minisyncoccia_bacterium_species_3120121	290
uncultured_Planctomycetales_bacterium_species_100371	287
Enterococcus_cecorum_species_44008	284
uncultured_Anaerotruncus_sp._species_905011	284
Candidatus_Poribacteria_bacterium_species_2026781	284
Gemmiger_qucibialis_species_2997294	283
Agrobacterium_tumefaciens_species_358	283
Planctomycetia_bacterium_species_2052181	283
uncultured_Anaerolineales_bacterium_species_444458	282
