DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Marivivens_genus_1759396	9
Stomatobaculum_genus_1213720	4
Candidatus Brocadia_genus_380240	16
Arachnia_genus_2801844	5
Noviherbaspirillum_genus_1344552	23
Virgibacillus_genus_84406	53
Fretibacterium_genus_1434006	4
Vulcanococcus_genus_2170427	20
Thiohalobacter_genus_1273155	5
Scardovia_genus_196081	3
Geothrix_genus_44675	21
Frisingicoccus_genus_1918511	2
Leptolinea_genus_475966	10
Schwartzia_genus_55506	3
Candidatus Williamhamiltonella_genus_568987	2
Anaerorhabdus_genus_118966	2
Caldilinea_genus_233191	5
Castellaniella_genus_359336	16
Neomegalonema_genus_356797	3
Schleiferilactobacillus_genus_2767891	3
Melissococcus_genus_33969	2
Blastococcus_genus_38501	45
Gilvibacter_genus_379070	3
Butyribacter_genus_2822463	2
Streptobacillus_genus_34104	6
Brachybacterium_genus_43668	61
Altererythrobacter_genus_361177	31
Candidatus Stahlbacteria_genus_2750082	4
Phycicoccus_genus_367298	21
Desulfosporosinus_genus_79206	34
Ehrlichia_genus_943	8
Ohtaekwangia_genus_1210119	4
Fannyhessea_genus_2767327	1
Litorivicinus_genus_418700	3
Terriglobus_genus_392733	10
Monoglobus_genus_2039302	3
Vreelandella_genus_3137766	41
Rhodopirellula_genus_265488	20
Sharpea_genus_519427	3
Candidatus Scatavimonas_genus_2840635	2
Desulfuromusa_genus_37817	3
Enterovibrio_genus_188143	16
Nitratiruptor_genus_269258	9
Cryptobacterium_genus_84162	4
Micropruina_genus_116071	4
Filifactor_genus_44259	4
Candidatus Onthovivens_genus_2840554	2
Pseudothermotoga_genus_1643951	6
Zhongshania_genus_1434050	10
Planctomicrobium_genus_1779141	3
Candidatus Aegiribacteria_genus_1870822	2
Lewinella_genus_70994	9
Candidatus Promineifilum_genus_1988031	3
Pandoraea_genus_93217	45
Candidatus Nasuia_genus_1301080	1
Cryobacterium_genus_69578	122
Methylocella_genus_120652	5
Psychromonas_genus_67572	30
Caldifermentibacillus_genus_3034001	1
Deinococcus_genus_1298	124
Paracidovorax_genus_3051137	9
Methylococcus_genus_413	10
Pelolinea_genus_1649478	3
Haliscomenobacter_genus_2349	3
Ferrovibrio_genus_1231242	5
Oceanococcus_genus_1558474	4
Chloroflexus_genus_1107	8
Rugosibacter_genus_1914449	2
Pusillimonas_genus_305976	25
Methylorubrum_genus_2282523	19
Gillisia_genus_244698	14
