DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Cuevavirus_genus_1513236	1
Deltasatellite_genus_1993641	12
Metaavulavirus_genus_2560174	11
Aquamavirus_genus_1330065	1
Kuravirus_genus_680277	42
Chlamydiamicrovirus_genus_40274	5
Aquaparamyxovirus_genus_1232658	2
Unaquatrovirus_genus_2169622	11
Mobatvirus_genus_2501367	5
Versovirus_genus_2732883	2
Milvetsatellite_genus_2169629	1
Nebovirus_genus_696855	5
Orivirus_genus_2169639	1
Limdunavirus_genus_2169621	8
Machinavirus_genus_2169624	12
Pulverervirus_genus_2169655	1
Iteradensovirus_genus_40122	9
Hartmanivirus_genus_2169607	8
Glossinavirus_genus_1285591	1
Marafivirus_genus_12051	18
Thetapapillomavirus_genus_334213	1
Foveavirus_genus_129725	15
Jamesmcgillvirus_genus_2948768	10
Agatevirus_genus_1910931	3
Cornellvirus_genus_1910993	6
Karamvirus_genus_1913650	19
Sopolycivirus_genus_2169646	10
Peeveelvirus_genus_2842946	33
Gammapartitivirus_genus_1511811	10
Gammapolyomavirus_genus_1891716	10
Epsilonpolyomavirus_genus_2842669	3
Ichnoviriform_genus_2948762	7
Mydovirus_genus_2842888	13
Treisepsilonpapillomavirus_genus_1921776	1
Cardoreovirus_genus_699181	1
Hadakavirus_genus_2948737	1
Alphanucleorhabdovirus_genus_2733245	15
Tiamatvirus_genus_2731983	1
Dyophipapillomavirus_genus_1920492	1
Dyopsipapillomavirus_genus_1920494	1
Mykissvirus_genus_2948830	1
Orthodiscovirus_genus_2948850	5
Nimphelosvirus_genus_2948841	1
Benyvirus_genus_143901	7
Lophivirus_genus_2948805	4
Pagevirus_genus_1921184	6
Rogunavirus_genus_1920866	11
Torovirus_genus_11155	9
Betahypovirus_genus_2946824	7
Virtovirus_genus_1925802	2
Oryzopoxvirus_genus_2733297	2
Botoulivirus_genus_2560105	22
Betayadokarivirus_genus_2946827	4
Alphafusarivirus_genus_2946790	22
Alphahypovirus_genus_2946791	11
Alphayadokarivirus_genus_2946793	6
Anulavirus_genus_413970	6
Epsilonhypovirus_genus_2948699	5
Duamitovirus_genus_2948686	48
Stanholtvirus_genus_1623297	8
Ishigurovirus_genus_2842766	4
Bicaudavirus_genus_680194	2
Limnipivirus_genus_1914566	5
Mupapillomavirus_genus_334202	3
Arawnvirus_genus_2843348	1
Zetapapillomavirus_genus_333918	1
Sigmavirus_genus_1308858	21
Alphatrevirus_genus_1910951	11
Helsingorvirus_genus_1918017	3
Pregotovirus_genus_2508244	4
Vingilotevirus_genus_2948948	1
Cervidpoxvirus_genus_573055	3
Xylavirus_genus_2948957	1
Elaviroid_genus_564640	1
Picardvirus_genus_2733201	2
Nyfulvavirus_genus_2022641	1
Murrayvirus_genus_2733197	5
Manhattanvirus_genus_2733192	9
Murciavirus_genus_2731675	2
Barhavirus_genus_2733247	2
Pteridovirus_genus_2733237	2
Arurhavirus_genus_2733246	4
Vojvodinavirus_genus_2733220	4
