DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
Bradysia_genus_35571	6
Lomentospora_genus_1549750	1
Ara_genus_9225	8
Passerculus_genus_161623	1
Phoenix_genus_4719	2
Ditylenchus_genus_166009	3
Cytospora_genus_117544	7
Calypte_genus_9243	1
Silene_genus_3573	7
Morus_genus_37577	3
Laccaria_genus_29882	3
Pampus_genus_163125	1
Wolffia_genus_161109	1
Ornithorhynchus_genus_9257	1
Podospora_genus_5144	13
Aotus_genus_9504	5
Arctocephalus_genus_29083	2
Dasyurus_genus_9278	5
Mugilogobius_genus_88199	1
Hirundo_genus_43149	1
Arthrobotrys_genus_13348	9
Ictidomys_genus_1141640	1
Mastacembelus_genus_94234	1
Sanghuangporus_genus_1659840	5
Anabrus_genus_316455	1
Caretta_genus_8466	1
Nasalis_genus_43779	1
Yponomeuta_genus_33465	5
Malaclemys_genus_8484	1
Chelydra_genus_8474	1
Ambrosiozyma_genus_36917	14
Matricaria_genus_56016	2
Sminthopsis_genus_9300	16
Petrogale_genus_9324	13
Chironomus_genus_7150	4
Hemileia_genus_203903	1
Rhinocladiella_genus_5587	2
Chilo_genus_168630	1
Clavelina_genus_159416	1
Trichuris_genus_36086	3
Rhynchophorus_genus_93127	1
Zonotrichia_genus_44387	3
Verpa_genus_44607	2
Barnettozyma_genus_599802	15
Scopulariopsis_genus_40374	1
Parachlorella_genus_247501	2
Ipomoea_genus_4119	5
Rousettus_genus_9406	3
Katreus_genus_1607943	1
Erinaceus_genus_9364	1
Auxenochlorella_genus_191392	2
Aquarana_genus_121236	1
Cyanidioschyzon_genus_45156	1
Pygathrix_genus_54132	3
Apostichopus_genus_307971	4
Caligus_genus_217164	1
Orygma_genus_169491	1
Nematostella_genus_45350	1
Enhydra_genus_34881	1
Monomorium_genus_55077	1
Nycticebus_genus_9469	2
Lemur_genus_9446	1
Folsomia_genus_158440	5
Grampus_genus_83652	1
Boehmeria_genus_83905	1
Babjeviella_genus_766748	1
Prototheca_genus_3110	6
Lates_genus_8186	2
Acanthopagrus_genus_8176	2
Perca_genus_8166	3
Pseudosimochromis_genus_167847	3
Willisornis_genus_870536	1
Haplochromis_genus_8121	6
Cheilosia_genus_173981	9
Patiria_genus_35076	2
Melinaea_genus_64444	4
Eucalyptus_genus_3932	37
Ateles_genus_9506	7
Urtica_genus_3500	2
Calidris_genus_8918	14
Poecilia_genus_8080	8
Dione_genus_33460	2
Cydia_genus_82599	5
Monopis_genus_685409	3
Maniola_genus_111919	4
Dactylellina_genus_314122	6
Leucosporidium_genus_5277	3
Meristemomyces_genus_1508186	1
Amia_genus_7923	1
Acipenser_genus_7901	4
Latimeria_genus_7896	1
Carica_genus_3648	1
Fagopyrum_genus_3616	3
Maylandia_genus_143623	1
Dryas_genus_33452	1
Spinacia_genus_3561	1
Diplodinium_genus_47888	2
Rhizophora_genus_40030	2
Dromiciops_genus_33561	1
Tuta_genus_702716	1
Drechslera_genus_33198	1
Theropithecus_genus_9564	1
Aphis_genus_80764	3
Gulo_genus_48419	1
Populus_genus_3689	16
Lampetra_genus_13103	3
Xenotilapia_genus_27764	20
Ningaui_genus_32552	3
Ursus_genus_9639	4
Vulpes_genus_9625	4
Symphodus_genus_130471	3
Rhododendron_genus_4346	16
Poecile_genus_142475	2
Lathyrus_genus_3853	4
Salvia_genus_21880	8
Cicer_genus_3826	9
Neonectria_genus_140106	12
Zalophus_genus_9703	1
Puma_genus_146712	2
Arabis_genus_50451	5
Stylophora_genus_50428	1
Hypoxylon_genus_42308	26
Vicia_genus_3904	4
Lucilia_genus_7374	2
Dendroctonus_genus_77156	3
Sciurus_genus_10001	3
Globodera_genus_31242	3
Triops_genus_58776	2
Alectoria_genus_111638	3
Brachyteles_genus_30593	1
Vicugna_genus_30539	2
Epicoccum_genus_104397	4
Acrobeloides_genus_70201	5
Simmondsia_genus_3998	1
Elaeis_genus_51952	2
Dicyrtomina_genus_438491	2
Tenodera_genus_62739	1
Aulonocara_genus_27780	1
Polydrusus_genus_122852	3
Periophthalmus_genus_86204	3
Melitaea_genus_104514	13
Danaus_genus_13036	6
Mirounga_genus_9714	2
Cladonia_genus_5199	26
Trichoplusia_genus_7110	1
Dichomitus_genus_114154	1
Tribolium_genus_7069	4
Sarocladium_genus_284134	9
Phocoena_genus_9741	2
Balaenoptera_genus_9766	6
Stachybotrys_genus_74721	5
Ordospora_genus_174684	2
Anthonomus_genus_7043	1
Nothophaeocryptopus_genus_2060158	1
Periplaneta_genus_6977	1
Hipposideros_genus_58068	4
Paragordius_genus_190577	1
Dermatophagoides_genus_6953	2
Ceratotherium_genus_9806	1
Carcharodus_genus_509357	2
Tachypleus_genus_6851	2
Neospora_genus_29175	1
Ancylostoma_genus_29169	3
Colias_genus_42295	10
Microtus_genus_10053	9
Rhopilema_genus_42737	1
Diospyros_genus_13492	2
Fagus_genus_21024	2
Wuchereria_genus_6292	1
Haemonchus_genus_6288	2
Dirofilaria_genus_6286	2
Brugia_genus_6278	3
Asparagus_genus_4685	4
Ascaris_genus_6251	2
Opisthorchis_genus_6197	2
Stemphylium_genus_95729	3
Schistosoma_genus_6181	13
Ephydatia_genus_6051	1
Psidium_genus_120289	2
Phytopythium_genus_795339	14
Tetrahymena_genus_5890	5
Dicrocoelium_genus_57077	1
Dorcopsis_genus_69267	1
Balearica_genus_30413	1
Peromyscus_genus_10040	9
Paracoccidioides_genus_38946	3
Nymphalis_genus_76218	5
Didymodactylos_genus_1234260	1
Hypolimnas_genus_76214	1
Corvus_genus_30420	7
Phoxinus_genus_42662	2
Scardinius_genus_58318	1
Micropterus_genus_27705	3
Gobio_genus_27703	3
Sardina_genus_27696	1
Saimiri_genus_9520	6
Eimeria_genus_5800	12
Allium_genus_4678	3
Polymixia_genus_81384	3
Echinomermella_genus_944442	1
Loxostege_genus_481308	1
Moschus_genus_68410	3
Coregonus_genus_27772	6
Alloteropsis_genus_416176	2
Morchella_genus_5193	23
Hamiltosporidium_genus_1176354	2
Phymatotrichopsis_genus_265489	1
Angomonas_genus_1003337	3
Lasius_genus_7482	8
Chytriomyces_genus_109882	4
Grifola_genus_5626	1
Ornithoptera_genus_95591	3
Myzus_genus_13163	1
Papiliotrema_genus_189450	5
Lycorma_genus_130586	1
Irpex_genus_5318	6
Arvicanthis_genus_61153	1
Plecoglossus_genus_61083	1
Antechinomys_genus_60700	1
Timema_genus_61471	4
Neofelis_genus_61451	2
Pueraria_genus_3892	1
Coccomyxa_genus_41891	6
Podosphaera_genus_62701	5
Pungitius_genus_134919	1
Microsporum_genus_34392	3
Neogale_genus_2902005	1
Callosobruchus_genus_64390	1
Podarcis_genus_42163	14
Curvularia_genus_5502	15
Pseudevernia_genus_88743	2
Pterocles_genus_56296	3
Nibea_genus_215359	3
Thelonectria_genus_1053258	5
Barbatula_genus_160394	1
Cataglyphis_genus_47732	16
Glyphodes_genus_259328	2
Muschampia_genus_876082	23
Aristotelia_genus_138854	1
Palythoa_genus_86596	7
Poteriospumella_genus_1117026	1
Teleopsis_genus_139679	1
Triadica_genus_316902	1
Tritrichomonas_genus_5723	3
Gillenia_genus_141001	1
Opsariichthys_genus_39567	1
Siderastrea_genus_130671	2
Diorhabda_genus_217246	4
Ruditapes_genus_186463	1
Nipponia_genus_128389	1
Oxytricha_genus_5943	1
Cololabis_genus_129042	1
Tithorea_genus_127242	2
Cinclus_genus_127874	2
Parapristionchus_genus_1187979	1
Coelomomyces_genus_143959	1
Phakellia_genus_85813	2
Athene_genus_126785	2
Chroicocephalus_genus_1129741	3
Amblyopsis_genus_940463	3
Alliaria_genus_126269	1
Forsythia_genus_55182	3
Lantana_genus_87005	1
Simplicillium_genus_292631	3
Dinocampus_genus_144244	1
Dactylonectria_genus_1620264	4
Sparassis_genus_40466	3
Microctonus_genus_144405	3
Corinectria_genus_2060652	1
Limnephilus_genus_177674	4
Setophaga_genus_182948	4
Auricularia_genus_5230	7
Amphibalanus_genus_637416	2
Tachysurus_genus_641818	3
Erythrolamprus_genus_121327	1
Tauraco_genus_56303	3
Strigamia_genus_126956	4
Siniperca_genus_119487	6
Larus_genus_8911	6
Synaphobranchus_genus_118153	1
Dryobates_genus_1517830	1
Agapetus_genus_177627	1
Cyclocarya_genus_117166	1
Aethina_genus_116152	1
Ascoidea_genus_27308	3
Xylaria_genus_37991	37
Paraphoma_genus_798070	2
Panulirus_genus_6734	13
Calonectris_genus_52121	1
Lycoriella_genus_170626	2
Nigrospora_genus_114230	13
Sogatella_genus_113102	1
Amazona_genus_12929	20
Arapaima_genus_113543	1
Actinomortierella_genus_2779867	2
Caprimulgus_genus_48284	1
Coenonympha_genus_111893	6
Maublancomyces_genus_3418888	6
Boeremia_genus_749461	3
Lecanosticta_genus_687950	1
Ranitomeya_genus_1004436	1
Phyllobates_genus_51961	1
Hymenoscyphus_genus_5182	12
Strix_genus_36304	3
Andrena_genus_48720	16
Butorides_genus_110670	1
Bucorvus_genus_153641	2
Tokudaia_genus_73108	3
Bicyclus_genus_110367	1
Balanus_genus_6677	2
Ustulina_genus_109377	1
Osmia_genus_124287	3
Morpho_genus_64446	10
Chrysomela_genus_41127	2
Anncaliia_genus_311453	1
Chelmon_genus_109904	1
Nemania_genus_109374	7
Galerina_genus_109632	2
Gymnopilus_genus_86085	2
Picochlorum_genus_249344	8
Xanthoria_genus_88741	6
Amaranthus_genus_3564	6
Cadophora_genus_210567	6
Nilaparvata_genus_108930	2
Cyphoderus_genus_1499078	1
Cyanistes_genus_156562	1
Eriolobus_genus_193306	1
Teratosphaeria_genus_237584	8
Macrotrachela_genus_104787	1
Euphydryas_genus_104501	4
Amyelois_genus_680682	1
Operophtera_genus_104451	1
Lathamus_genus_678568	1
Molossus_genus_27621	3
Rhodonia_genus_2041757	1
Thelazia_genus_103826	1
Neoneuromus_genus_1569766	1
Mucuna_genus_40336	1
Neopestalotiopsis_genus_1562158	7
Ceratobasidium_genus_5251	16
Pluvialis_genus_171272	4
Pogona_genus_52201	1
Channallabes_genus_103214	1
Trametes_genus_5324	16
Pelmatolapia_genus_1315719	1
Notothenia_genus_8207	2
Papio_genus_9554	6
Diadophis_genus_158806	1
Syncephalastrum_genus_13705	5
Hericium_genus_40459	4
Vanellus_genus_50403	1
Pilasporangium_genus_1635158	1
Embiotoca_genus_100189	1
Pseudogymnoascus_genus_78156	27
Cephalopholis_genus_91742	2
Plectropomus_genus_134629	1
Anthopleura_genus_6109	4
Biscogniauxia_genus_97376	3
Neoarthrinium_genus_2983819	1
Prymnesium_genus_35143	2
Asbolus_genus_1662592	1
Lemna_genus_4469	1
Doryrhamphus_genus_161449	1
Entelurus_genus_161454	1
Phyllopteryx_genus_161468	1
Paramormyrops_genus_91732	3
Isatis_genus_161755	2
Crassostrea_genus_6564	5
