genus,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Oscillospiraceae.U.genus,216572,2074,5244,0.72,0.41,27688,1068,0.93,1.04,0,0,1068,0,1068,matched,Bacteria,1280,4.62,1.942,0.515
Peptostreptococcaceae.U.genus,186804,136,471,0.05,0.04,24459,134,0.83,0.13,0,0,134,0,134,matched,Bacteria,23747,97.09,1.015,0.985
Muribaculaceae.U.genus,2005473,1537,3359,0.53,0.26,24291,68,0.82,0.07,0,0,68,0,68,matched,Bacteria,75,0.31,22.603,0.044
Clostridioides,1870884,15,817,0.01,0.06,23520,44,0.79,0.04,0,0,44,0,44,matched,Bacteria,23431,99.62,0.341,2.933
Bacillaceae.U.genus,186817,68,155,0.02,0.01,21446,3655,0.72,3.57,0,0,3655,0,3655,matched,Bacteria,20860,97.27,0.019,53.75
Flavobacteriia.U.genus,117743,3,22,0.0,0.0,19409,3104,0.65,3.03,0,0,3104,0,3104,matched,Bacteria,7284,37.53,0.001,1034.667
Flavobacteriales.U.genus,200644,530,3714,0.18,0.29,19269,3093,0.65,3.02,0,0,3093,0,3093,matched,Bacteria,7282,37.79,0.171,5.836
Enterobacter,547,491,2388,0.17,0.19,18911,794,0.64,0.77,0,0,794,0,794,matched,Bacteria,18412,97.36,0.618,1.617
Lactobacillaceae.U.genus,33958,13,15,0.0,0.0,18222,740,0.61,0.72,0,0,740,0,740,matched,Bacteria,12087,66.33,0.018,56.923
Bacteroidaceae.U.genus,815,4,21,0.0,0.0,17869,371,0.6,0.36,0,0,371,0,371,matched,Bacteria,6531,36.55,0.011,92.75
Chloroflexota.U.genus,200795,1801,14591,0.63,1.14,17392,726,0.59,0.71,0,0,726,0,726,matched,Bacteria,976,5.61,2.481,0.403
