family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Aphelidiaceae,2689233,12,17,0.02,0.0,1,1,0.0,0.0,0,0,1,0,1,matched,Eukaryota,1,100.0,12.0,0.083
Embryophyceae_XX,N/A,2248,16076,3.17,4.01,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Gyrista.U.family,N/A,833,3060,1.17,0.76,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II.U.family,N/A,657,2568,0.93,0.64,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Sandonidae,2586441,645,3733,0.91,0.93,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-7,N/A,547,1828,0.77,0.46,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
TSAR.U.family,N/A,509,1675,0.72,0.42,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Hartmannellidae,5776,472,2106,0.67,0.52,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Thoracosphaeraceae,1691972,468,2008,0.66,0.5,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Petalomonadida.U.family,2570648,422,1103,0.6,0.27,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-10-and-11,N/A,415,1595,0.59,0.4,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Polycystinea.U.family,65582,391,4253,0.55,1.06,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Archaeplastida.U.family,N/A,342,1480,0.48,0.37,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Craniata_X.U.family,89593 Craniata,326,2470,0.46,0.62,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Vampyrellida.U.family,1367446,315,1110,0.44,0.28,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Maxillopoda,N/A,290,3923,0.41,0.98,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dino-Group-II-Clade-6,N/A,286,4127,0.4,1.03,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Radiolaria.U.family,65574 Radiolaria,272,1717,0.38,0.43,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Dileptidae,1652550,253,2935,0.36,0.73,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
Scytomonadidae,2570650,240,549,0.34,0.14,0,0,0.0,0.0,0,0,0,0,0,census_only,Unknown,0,0.0,inf,0.0
