family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Araceae,0,0,0.0,0.0,26,12,26,0.05,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Moraceae,0,0,0.0,0.0,26,15,26,0.05,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Turdidae,0,0,0.0,0.0,25,19,25,0.05,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Apocynaceae,0,0,0.0,0.0,25,19,25,0.05,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cardiidae,0,0,0.0,0.0,25,13,25,0.05,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bacillariaceae,0,0,0.0,0.0,24,17,18,0.05,0.08,75.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Columbidae,0,0,0.0,0.0,24,10,24,0.05,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pachysolenaceae,0,0,0.0,0.0,24,18,24,0.05,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ranunculaceae,0,0,0.0,0.0,23,14,23,0.05,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lythraceae,0,0,0.0,0.0,23,10,23,0.05,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neodiplogasteridae,0,0,0.0,0.0,23,10,23,0.05,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scenedesmaceae,0,0,0.0,0.0,23,18,23,0.05,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Vahlkampfiidae,0,0,0.0,0.0,23,6,17,0.05,0.03,73.91,,,0,0,0,ncbi_only,Eukaryota,0.0
Cannabaceae,0,0,0.0,0.0,22,4,22,0.04,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Psittaculidae,0,0,0.0,0.0,22,17,22,0.04,0.08,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sapindaceae,0,0,0.0,0.0,22,12,22,0.04,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Betulaceae,0,0,0.0,0.0,22,13,22,0.04,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhizophoraceae,0,0,0.0,0.0,22,15,22,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trigonopsidaceae,0,0,0.0,0.0,21,15,21,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lucinidae,0,0,0.0,0.0,21,11,21,0.04,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Arecaceae,0,0,0.0,0.0,21,9,20,0.04,0.04,95.24,,,0,0,0,ncbi_only,Eukaryota,0.0
Siboglinidae,0,0,0.0,0.0,21,11,21,0.04,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Petromyzontidae,0,0,0.0,0.0,21,8,21,0.04,0.04,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rallidae,0,0,0.0,0.0,21,15,21,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Symbiodiniaceae,0,0,0.0,0.0,21,14,21,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Thraustochytriaceae,0,0,0.0,0.0,20,19,20,0.04,0.09,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Octopodidae,0,0,0.0,0.0,20,17,20,0.04,0.08,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Monodopsidaceae,0,0,0.0,0.0,20,7,20,0.04,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tinamidae,0,0,0.0,0.0,20,15,20,0.04,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Planorbidae,0,0,0.0,0.0,20,7,20,0.04,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aphelenchoididae,0,0,0.0,0.0,20,7,20,0.04,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
