genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Rehmannia,160,265,0.23,0.07,1,1,1,0.0,0.0,100.0,160.0,0.006,1,0,1,matched,Eukaryota,0.0
Neovahlkampfia,211,780,0.3,0.19,1,1,1,0.0,0.0,100.0,211.0,0.005,1,0,1,matched,Eukaryota,0.0
Articulospora,19,62,0.03,0.02,1,1,1,0.0,0.0,100.0,19.0,0.053,1,0,1,matched,Eukaryota,0.0
Ichthyophthirius,19,444,0.03,0.11,1,1,1,0.0,0.0,100.0,19.0,0.053,1,0,1,matched,Eukaryota,0.0
Eurytemora,21,89,0.03,0.02,1,1,1,0.0,0.0,100.0,21.0,0.048,1,0,1,matched,Eukaryota,0.0
Hexamita,32,113,0.05,0.03,1,1,1,0.0,0.0,100.0,32.0,0.031,1,0,1,matched,Eukaryota,0.0
Pycnora,46,237,0.06,0.06,1,1,0,0.0,0.0,0.0,46.0,0.022,1,0,1,matched,Eukaryota,0.0
Labyrinthula,62,238,0.09,0.06,1,1,1,0.0,0.0,100.0,62.0,0.016,1,0,1,matched,Eukaryota,0.0
Sabatieria,16,95,0.02,0.02,1,1,1,0.0,0.0,100.0,16.0,0.062,1,0,1,matched,Eukaryota,0.0
Bodo,10,15,0.01,0.0,1,1,1,0.0,0.0,100.0,10.0,0.1,1,0,1,matched,Eukaryota,0.0
Aculops,5,7,0.01,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,0,1,matched,Eukaryota,0.0
Tilletiopsis,8,53,0.01,0.01,1,1,1,0.0,0.0,100.0,8.0,0.125,1,0,1,matched,Eukaryota,0.0
Chydorus,12,27,0.02,0.01,1,1,1,0.0,0.0,100.0,12.0,0.083,1,0,1,matched,Eukaryota,0.0
Aphelidium,12,17,0.02,0.0,1,1,1,0.0,0.0,100.0,12.0,0.083,1,0,1,matched,Eukaryota,0.0
Mitosporidium,9,13,0.01,0.0,1,1,1,0.0,0.0,100.0,9.0,0.111,1,0,1,matched,Eukaryota,0.0
Acartia,4,7,0.01,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,0,1,matched,Eukaryota,0.0
Coniophora,2,3,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,0,1,matched,Eukaryota,0.0
Thamnocephalis,3,4,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,0,1,matched,Eukaryota,0.0
Neofabraea,3,6,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,0,1,matched,Eukaryota,0.0
Polychytrium,5,6,0.01,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,0,1,matched,Eukaryota,0.0
Raphidocelis,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,0,1,matched,Eukaryota,0.0
Paramicrosporidium,2,8,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,0,1,matched,Eukaryota,0.0
Simocephalus,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,0,1,matched,Eukaryota,0.0
Tuckermannopsis,1,5,0.0,0.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,0,1,matched,Eukaryota,0.0
Fusarium,0,0,0.0,0.0,1811,262,1808,3.63,1.27,99.83,,,0,0,0,ncbi_only,Eukaryota,0.0
Macrophomina,0,0,0.0,0.0,491,6,491,0.98,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pyricularia,0,0,0.0,0.0,435,13,435,0.87,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Candidozyma,0,0,0.0,0.0,434,10,434,0.87,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Beauveria,0,0,0.0,0.0,347,14,347,0.7,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Beta,0,0,0.0,0.0,331,5,331,0.66,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Vitis,0,0,0.0,0.0,279,38,210,0.56,0.18,75.27,,,0,0,0,ncbi_only,Eukaryota,0.0
Bos,0,0,0.0,0.0,241,10,241,0.48,0.05,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heliconius,0,0,0.0,0.0,224,42,224,0.45,0.2,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hordeum,0,0,0.0,0.0,216,4,216,0.43,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Junonia,0,0,0.0,0.0,210,14,210,0.42,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alternaria,0,0,0.0,0.0,209,62,209,0.42,0.3,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Solanum,0,0,0.0,0.0,205,59,205,0.41,0.29,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhodotorula,0,0,0.0,0.0,191,21,187,0.38,0.1,97.91,,,0,0,0,ncbi_only,Eukaryota,0.0
Komagataella,0,0,0.0,0.0,190,7,0,0.38,0.03,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Parastagonospora,0,0,0.0,0.0,189,2,189,0.38,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aureobasidium,0,0,0.0,0.0,183,27,180,0.37,0.13,98.36,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichoderma,0,0,0.0,0.0,174,50,174,0.35,0.24,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Metschnikowia,0,0,0.0,0.0,165,81,164,0.33,0.39,99.39,,,0,0,0,ncbi_only,Eukaryota,0.0
Pichia,0,0,0.0,0.0,164,48,161,0.33,0.23,98.17,,,0,0,0,ncbi_only,Eukaryota,0.0
Plasmodium,0,0,0.0,0.0,164,25,164,0.33,0.12,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ogataea,0,0,0.0,0.0,150,58,150,0.3,0.28,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zygosaccharomyces,0,0,0.0,0.0,148,14,148,0.3,0.07,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Botryosphaeria,0,0,0.0,0.0,142,3,142,0.28,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Psilocybe,0,0,0.0,0.0,141,12,141,0.28,0.06,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scheffersomyces,0,0,0.0,0.0,139,20,139,0.28,0.1,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Malus,0,0,0.0,0.0,138,35,138,0.28,0.17,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aphelocoma,0,0,0.0,0.0,136,4,136,0.27,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Leishmania,0,0,0.0,0.0,133,30,133,0.27,0.15,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
